Modul 1,Modul 2,Modul 3,Modul 4,Modul 5,Modul 6
93,80,80,70,90,85
64,75,81,70,65,80
90,85,85,90,90,81
81,75,70,80,85,87
88,87,65,81,74,88
65,65,58,74,80,81
88,90,74,70,68,85
64,70,60,70,74,90
85,80,73,75,75,85
71,78,81,70,78,90
42,60,80,70,80,85
83,85,70,82,81,87
70,70,69,80,80,88
90,87,75,81,70,70
67,70,75,70,75,80
93,80,85,70,85,88
71,75,90,90,70,95
93,90,95,81,85,100
75,75,95,70,90,85
90,87,81,70,70,85
75,70,69,81,78,90
93,87,69,70,70,85
90,85,72,95,90,90
100,95,75,82,85,88
57,75,60,76,85,95
90,90,85,90,80,90
90,83,85,74,81,81
71,72,70,70,80,81
78,70,95,70,81,88
79,75,75,84,90,90
79,74,60,74,70,85
76,79,68,74,0,81
74,71,70,70,0,81
93,87,60,75,78,90
90,83,90,85,80,90
74,75,70,85,80,90
81,79,71,80,85,87
88,80,80,81,78,85
90,70,72,85,85,87
90,90,70,90,85,90
72,79,60,0,0,0
90,90,60,90,85,90
90,79,78,87,80,81
