Modul 1,Modul 2,Modul 3,Modul 4,Modul 5,Modul 6
100,100,100,69,81,89
91,100,0,0,74,87
100,89,0,100,81,0
100,87,77,100,74,94
100,100,90,100,0,90
100,100,83,74,90,82
95,100,85,70,81,85
83,100,80,78,88,90
100,100,0,100,90,80
97,100,85,100,81,93
100,100,0,75,0,90
100,100,70,81,70,81
100,100,79,74,81,85
100,100,100,100,80,85
100,100,100,100,0,75
97,100,85,100,0,89
90,80,85,85,70,74
100,100,100,100,76,85
100,100,90,100,90,95
100,100,85,0,0,75
100,100,0,85,81,80
100,100,0,0,81,94
100,100,92,0,81,81
100,100,95,90,76,100
97,70,100,90,74,100
84,96,90,80,74,100
100,100,100,90,75,100
100,100,80,80,74,75
100,100,85,0,88,100
79,96,85,0,80,100
83,100,100,95,88,100
100,100,90,90,74,100
100,100,100,100,0,0
100,100,90,75,74,100
82,95,100,90,70,0
97,96,90,0,0,100
79,95,100,85,74,95
100,100,74,85,88,90
0,70,0,0,0,0
0,0,0,0,0,0
