Modul 1,Modul 2,Modul 3,Modul 4,Modul 5,Modul 6
91,91,90,100,90,95
80,92,72,100,95,95
83,88,81,90,90,95
86,86,100,100,90,100
71,91,77,78,100,100
80,90,77,90,90,85
90,95,92,100,100,85
80,82,72,82,95,85
78,87,73,75,81,85
83,85,76,100,90,85
90,90,82,85,95,100
90,85,83,85,95,83
90,99,85,81,85,90
80,90,82,100,90,88
77,75,74,55,74,65
80,90,100,100,100,100
80,90,92,100,90,85
90,86,85,100,100,100
80,90,77,100,95,90
86,81,85,90,90,95
86,95,73,75,90,95
92,75,100,90,100,95
80,86,73,70,70,85
89,90,90,85,82,90
99,100,85,90,95,96
90,90,100,100,100,100
87,100,80,100,82,90
97,100,74,100,85,65
94,100,74,80,85,95
89,90,100,100,90,100
98,95,85,85,81,85
96,100,74,90,80,87
96,90,74,100,85,100
97,100,74,80,81,100
92,100,72,85,80,83
89,90,74,100,90,82
86,100,78,100,83,90
100,100,100,100,100,100
96,95,74,100,80,90
88,90,80,100,95,90
92,100,75,100,80,90
79,100,69,90,74,90
92,100,74,100,90,100
