Modul 1,Modul 2,Modul 3,Modul 4,Modul 5,Modul 6
67,85,66,78,81,85
67,73,85,74,78,81
81,71,78,81,81,85
74,85,74,89,85,82
78,86,85,83,79,83
70,75,93,90,85,81
73,100,85,81,95,83
73,85,79,90,95,90
73,81,75,70,81,60
66,79,73,72,78,81
72,86,80,83,79,82
63,73,74,80,78,81
77,86,95,81,95,81
67,75,74,74,78,80
72,81,75,80,78,85
93,91,90,81,94,85
66,81,66,73,78,80
69,75,75,85,83,82
63,81,66,60,78,80
63,76,80,80,79,82
63,85,75,100,85,90
72,71,90,82,85,82
63,75,74,79,81,81
86,93,75,71,82,87
85,60,75,81,81,100
87,79,60,85,70,75
91,95,70,81,80,87
91,79,81,85,85,88
90,87,70,79,80,85
81,87,74,91,80,100
86,75,69,77,81,85
99,97,90,95,85,100
87,87,79,81,82,89
88,85,70,76,74,90
88,81,81,85,81,90
83,79,70,79,81,100
88,82,82,85,74,100
87,79,65,83,79,88
75,87,75,81,75,87
65,83,70,67,70,76
82,87,70,81,74,100
78,89,85,85,81,100
81,87,78,74,82,82
82,90,65,81,81,85
81,85,74,100,82,81
